# Case 1 - 历史销售数据
# 注意：这是CSV格式的示例数据，需要手动转换为Excel格式

# 历史销售数据表 (historical_sales sheet)
date,region,product,price,sales
week01,AMR,Princess Plus,200,240
week01,Europe,Princess Plus,200,100
week01,PAC,Princess Plus,200,150
week02,AMR,Princess Plus,200,170
week02,Europe,Princess Plus,200,80
week02,PAC,Princess Plus,200,220
week03,AMR,Princess Plus,200,130
week03,Europe,Princess Plus,200,90
week03,PAC,Princess Plus,200,240
week04,AMR,Princess Plus,200,90
week04,Europe,Princess Plus,200,80
week04,PAC,Princess Plus,200,150
week05,AMR,Princess Plus,200,110
week05,Europe,Princess Plus,200,70
week05,PAC,Princess Plus,200,130
week06,AMR,Princess Plus,200,130
week06,Europe,Princess Plus,200,60
week06,PAC,Princess Plus,200,120
week07,AMR,Princess Plus,200,110
week07,Europe,Princess Plus,200,60
week07,PAC,Princess Plus,200,110
week08,AMR,Princess Plus,200,110
week08,Europe,Princess Plus,200,60
week08,PAC,Princess Plus,200,100
week09,AMR,Princess Plus,200,110
week09,Europe,Princess Plus,200,50
week09,PAC,Princess Plus,200,110
week010,AMR,Princess Plus,200,130
week010,Europe,Princess Plus,200,50
week010,PAC,Princess Plus,200,100
week011,AMR,Princess Plus,200,70
week011,Europe,Princess Plus,200,50
week011,PAC,Princess Plus,200,120
week012,AMR,Princess Plus,200,90
week012,Europe,Princess Plus,200,80
week012,PAC,Princess Plus,200,130
week013,AMR,Princess Plus,200,100
week013,Europe,Princess Plus,200,80
week013,PAC,Princess Plus,200,160
week014,AMR,Princess Plus,200,80
week014,Europe,Princess Plus,200,60
week014,PAC,Princess Plus,200,120
week015,AMR,Princess Plus,200,90
week015,Europe,Princess Plus,200,50
week015,PAC,Princess Plus,200,100
week01,AMR,Dwarf Plus,120,320
week01,Europe,Dwarf Plus,120,80
week01,PAC,Dwarf Plus,120,230
week02,AMR,Dwarf Plus,120,220
week02,Europe,Dwarf Plus,120,100
week02,PAC,Dwarf Plus,120,210
week03,AMR,Dwarf Plus,120,170
week03,Europe,Dwarf Plus,120,60
week03,PAC,Dwarf Plus,120,140
week04,AMR,Dwarf Plus,120,190
week04,Europe,Dwarf Plus,120,100
week04,PAC,Dwarf Plus,120,140
week05,AMR,Dwarf Plus,120,200
week05,Europe,Dwarf Plus,120,100
week05,PAC,Dwarf Plus,120,140
week06,AMR,Dwarf Plus,120,170
week06,Europe,Dwarf Plus,120,90
week06,PAC,Dwarf Plus,120,150
week07,AMR,Dwarf Plus,120,160
week07,Europe,Dwarf Plus,120,80
week07,PAC,Dwarf Plus,120,140
week08,AMR,Dwarf Plus,120,160
week08,Europe,Dwarf Plus,120,80
week08,PAC,Dwarf Plus,120,175
week09,AMR,Dwarf Plus,120,140
week09,Europe,Dwarf Plus,120,80
week09,PAC,Dwarf Plus,120,140
week010,AMR,Dwarf Plus,120,140
week010,Europe,Dwarf Plus,120,70
week010,PAC,Dwarf Plus,120,90
week011,AMR,Dwarf Plus,120,180
week011,Europe,Dwarf Plus,120,90
week011,PAC,Dwarf Plus,120,90
week012,AMR,Dwarf Plus,120,160
week012,Europe,Dwarf Plus,120,80
week012,PAC,Dwarf Plus,120,100
week013,AMR,Dwarf Plus,120,160
week013,Europe,Dwarf Plus,120,80
week013,PAC,Dwarf Plus,120,110
week014,AMR,Dwarf Plus,120,170
week014,Europe,Dwarf Plus,120,80
week014,PAC,Dwarf Plus,120,100
week015,AMR,Dwarf Plus,120,190
week015,Europe,Dwarf Plus,120,70
week015,PAC,Dwarf Plus,120,90 
